序号,标题,描述,优先级,步骤ID,步骤,测试数据,期望结果,需求,测试用例集
TC-001,新建碳盘查清单-首次选择年份,当前无任何清单,High,1,进入碳盘查清单页面,,页面正常加载,LIST-01,新建碳盘查清单
,,,High,2,点击"新建碳盘查清单",,弹出年份选择器,LIST-01,新建碳盘查清单
,,,High,3,选择年份,,年份选择器正常展示可选年份；"从历史清单复制"disable 不可选；选择年份后进入组织边界选择页,LIST-01,新建碳盘查清单
TC-002,新建碳盘查清单-已有年份不可选,已存在 2025 年清单,Medium,1,点击"新建碳盘查清单",,弹出年份选择器,COMP-01,新建碳盘查清单
,,,Medium,2,查看年份选择器,,2025 年在年份选择器中 disable 不可选，其他未创建年份正常可选,COMP-01,新建碳盘查清单
TC-003,新建碳盘查清单-从历史清单复制,已存在 2024 年清单，当前新建 2025 年,High,1,点击"新建碳盘查清单",,弹出年份选择器,"COMP-01,COMP-04",新建碳盘查清单
,,,High,2,选择 2025 年,,年份选中,"COMP-01,COMP-04",新建碳盘查清单
,,,High,3,勾选"从历史清单复制",,复制选项激活，展示可选年份,"COMP-01,COMP-04",新建碳盘查清单
,,,High,4,选择 2024 年,,2024 年选中,"COMP-01,COMP-04",新建碳盘查清单
,,,High,5,确认,,2024 年清单内所有信息完整复制到 2025 年清单中,"COMP-01,COMP-04",新建碳盘查清单
